,URL,District,Address,Tag,Area,Price,latitude,longitude
39,https://km.58.com/shangpu/41328784930710x.shtml,昆明市官渡区,万科魅力之城五期,免租1个月 临街 可餐饮 上水 下水,152.56 ㎡,1.86,24.96193,102.791644
40,https://km.58.com/shangpu/41513183450134x.shtml,昆明市官渡区,万科魅力之城,免租1个月 临街 上水 下水 外摆区,216 ㎡,2.16,24.963661,102.787503
41,https://km.58.com/shangpu/39624270211101x.shtml,昆明市官渡区,万景园,免租1个月 临街,150 ㎡,0.67,24.95793,102.768869
42,https://km.58.com/shangpu/41448512060417x.shtml,昆明市官渡区,官渡古镇,临街,338.23 ㎡,2.96,24.960282,102.760903
43,https://km.58.com/shangpu/41696108652574x.shtml,昆明市官渡区,董家湾路74号,临街 可明火 上水 下水,100 ㎡,2.5,25.04086,102.741875
44,https://km.58.com/shangpu/41682944672029x.shtml,昆明市官渡区,织布营,临街 可餐饮 上水 下水,248 ㎡,1.34,24.980293,102.7746
45,https://km.58.com/shangpu/41469516679559x.shtml,昆明市官渡区,昆明海伦国际,免租1个月 临街 上水 下水 外摆区,110 ㎡,2.73,24.973783,102.751073
46,https://km.58.com/shangpu/41460871776027x.shtml,昆明市官渡区,大板桥镇,临街 上水 下水 外摆区,100 ㎡,1.4,25.051417,102.886506
47,https://km.58.com/shangpu/41594830167562x.shtml,昆明市官渡区,俊福花城,临街 可明火 上水 下水,128.25 ㎡,2.34,24.936601,102.76512
48,https://km.58.com/shangpu/41626374110502x.shtml,昆明市官渡区,官山综合楼,临街 上水 下水,280 ㎡,0.54,24.982857,102.799625
49,https://km.58.com/shangpu/41685666671766x.shtml,昆明市官渡区,大麻苴,可明火 上水 下水 外摆区,135 ㎡,0.62,25.014727,102.796805
50,https://km.58.com/shangpu/41684575996067x.shtml,昆明市官渡区,万豪商务酒店,临街,100 ㎡,2.33,24.980587,102.777281
51,https://km.58.com/shangpu/41683263068673x.shtml,昆明市官渡区,俊福花城-满福苑,临街,131 ㎡,1.27,24.939975,102.764619
52,https://km.58.com/shangpu/40752573308811x.shtml,昆明市官渡区,中国石油(东力加油站),临街 上水 下水,130 ㎡,1.41,25.035943,102.756821
53,https://km.58.com/shangpu/41670456164373x.shtml,昆明市官渡区,北京路/环城南路(路口),临街 外摆区,100 ㎡,5.0,25.030572,102.727249
54,https://km.58.com/shangpu/41669744036229x.shtml,昆明市官渡区,云南省昆明市滇中新区大板桥街道长坡村,临街 可餐饮 可明火 下水,110 ㎡,0.45,25.133001,102.983997
55,https://km.58.com/shangpu/41538007667219x.shtml,昆明市官渡区,俊发湾流海四组团,临街 上水 下水,184 ㎡,1.81,24.950151,102.751033
56,https://km.58.com/shangpu/41658372843042x.shtml,昆明市官渡区,岚春苑-1号门,上水 下水,140 ㎡,1.5,24.969082,102.762162
57,https://km.58.com/shangpu/41656587279114x.shtml,昆明市官渡区,新亚洲体育城,临街 可餐饮 下水 外摆区,270 ㎡,188.0,24.952862,102.776209
58,https://km.58.com/shangpu/41208162656537x.shtml,昆明市官渡区,珥季路,临街 可餐饮 可明火 上水,117 ㎡,1.71,24.978283,102.776218
59,https://km.58.com/shangpu/41649109819657x.shtml,昆明市官渡区,老北京自助火锅,免租1个月 临街 可餐饮 可明火 上水,320 ㎡,1.46,25.069938,102.660848
60,https://km.58.com/shangpu/41647826798866x.shtml,昆明市官渡区,云南旗骏汽车服务广场,临街 外摆区,150 ㎡,2.89,25.014258,102.776499
61,https://km.58.com/shangpu/41628253679649x.shtml,昆明市官渡区,昆明康乐茶文化城,临街,200 ㎡,1.17,24.992965,102.728299
62,https://km.58.com/shangpu/41640910365323x.shtml,昆明市官渡区,实力山语间,临街,128 ㎡,2.93,25.040419,102.771379
63,https://km.58.com/shangpu/41638484267786x.shtml,昆明市官渡区,高庙商业步行街,免租3个月 临街 可餐饮,200 ㎡,0.17,24.932073,102.761706
64,https://km.58.com/shangpu/41638463320606x.shtml,昆明市官渡区,金源大道,临街,150 ㎡,11.11,24.975779,102.758375
65,https://km.58.com/shangpu/41104911461129x.shtml,昆明市官渡区,长水航城茉莉苑,临街 可餐饮 可明火 上水,195.75 ㎡,1.87,25.092462,102.96085
66,https://km.58.com/shangpu/41634451136515x.shtml,昆明市官渡区,普照温泉酒店,临街 可餐饮 可明火 上水,400 ㎡,2.08,24.997068,102.811445
67,https://km.58.com/shangpu/40739140519328x.shtml,昆明市官渡区,昆明市官渡区中华小学海伦国际学校,临街 外摆区,300 ㎡,2.3,24.973687,102.752974
